airport_id,name,city,country,iata_faa,latitude,longitude
6360,Xiangfan Airport,Xiangfan,China,XFN,32.1506,112.291
6361,Yichang Airport,Yichang,China,YIH,30.671,111.441
6362,Ankang Airport,Ankang,China,AKA,32.7081,108.931
6363,Golmud Airport,Golmud,China,GOQ,34.633,98.867
6364,Hanzhong Airport,Hanzhong,China,HZG,33.0636,107.008
6365,Qingyang Airport,Qingyang,China,IQN,35.7997,107.603
6366,Xining Caojiabu Airport,Xining,China,XNN,36.5275,102.043
6367,Yan'an Airport,Yan'an,China,ENY,36.6369,109.554
6368,Yulin Airport,Yulin,China,UYN,38.2692,109.731
6369,Arvaikheer Airport,,Mongolia,AVK,46.2503,102.802
